City,Period,Forecast_Units
Bengaluru,Q1-2026,15360
Bengaluru,Q2-2026,14995
Bengaluru,Q3-2026,15515
Bengaluru,Q4-2026,15730
Bengaluru,Q1-2027,16463
Bengaluru,Q2-2027,16260
Bengaluru,Q3-2027,16433
Bengaluru,Q4-2027,16559
Bengaluru,Q1-2028,16590
Bengaluru,Q2-2028,16839
Bengaluru,Q3-2028,16913
Bengaluru,Q4-2028,17039
Chennai,Q1-2026,5051
Chennai,Q2-2026,5118
Chennai,Q3-2026,4858
Chennai,Q4-2026,4845
Chennai,Q1-2027,4798
Chennai,Q2-2027,4768
Chennai,Q3-2027,4815
Chennai,Q4-2027,4845
Chennai,Q1-2028,4859
Chennai,Q2-2028,4829
Chennai,Q3-2028,4815
Chennai,Q4-2028,4845
Hyderabad,Q1-2026,12266
Hyderabad,Q2-2026,12347
Hyderabad,Q3-2026,12648
Hyderabad,Q4-2026,12766
Hyderabad,Q1-2027,12777
Hyderabad,Q2-2027,12621
Hyderabad,Q3-2027,12691
Hyderabad,Q4-2027,12799
Hyderabad,Q1-2028,13026
Hyderabad,Q2-2028,12751
Hyderabad,Q3-2028,12944
Hyderabad,Q4-2028,13185
Kolkata,Q1-2026,4161
Kolkata,Q2-2026,4016
Kolkata,Q3-2026,3971
Kolkata,Q4-2026,4031
Kolkata,Q1-2027,4072
Kolkata,Q2-2027,4044
Kolkata,Q3-2027,4030
Kolkata,Q4-2027,4060
Kolkata,Q1-2028,4180
Kolkata,Q2-2028,4044
Kolkata,Q3-2028,4030
Kolkata,Q4-2028,4148
MMR,Q1-2026,35113
MMR,Q2-2026,35823
MMR,Q3-2026,36385
MMR,Q4-2026,35316
MMR,Q1-2027,35109
MMR,Q2-2027,34756
MMR,Q3-2027,35055
MMR,Q4-2027,35197
MMR,Q1-2028,35109
MMR,Q2-2028,34796
MMR,Q3-2028,35055
MMR,Q4-2028,35202
NCR,Q1-2026,12071
NCR,Q2-2026,12111
NCR,Q3-2026,12745
NCR,Q4-2026,12727
NCR,Q1-2027,12777
NCR,Q2-2027,12621
NCR,Q3-2027,12673
NCR,Q4-2027,12807
NCR,Q1-2028,13026
NCR,Q2-2028,12751
NCR,Q3-2028,12944
NCR,Q4-2028,13070
Pune,Q1-2026,15701
Pune,Q2-2026,14875
Pune,Q3-2026,14095
Pune,Q4-2026,14780
Pune,Q1-2027,14297
Pune,Q2-2027,13947
Pune,Q3-2027,13539
Pune,Q4-2027,12963
Pune,Q1-2028,12370
Pune,Q2-2028,12212
Pune,Q3-2028,12284
Pune,Q4-2028,12784
