city,period,units_total_absorption,fitted_units
Bengaluru,Q1-2008,9529.0,
Bengaluru,Q2-2008,8542.0,
Bengaluru,Q3-2008,6292.0,
Bengaluru,Q4-2008,3419.0,
Bengaluru,Q1-2009,4749.0,4891.695705356058
Bengaluru,Q2-2009,4508.0,4542.222951679428
Bengaluru,Q3-2009,5456.0,4901.632012510354
Bengaluru,Q4-2009,6303.0,5664.917825201786
Bengaluru,Q1-2010,6503.0,6903.535717235546
Bengaluru,Q2-2010,6098.0,6413.40102195146
Bengaluru,Q3-2010,7064.0,6653.7472331932895
Bengaluru,Q4-2010,9176.0,8555.662029059209
Bengaluru,Q1-2011,10203.0,9124.229636262638
Bengaluru,Q2-2011,9305.0,9240.978018403635
Bengaluru,Q3-2011,11101.0,10674.715478900433
Bengaluru,Q4-2011,10842.0,10950.659613203441
Bengaluru,Q1-2012,11271.0,11112.866297398117
Bengaluru,Q2-2012,11719.0,11829.004179476524
Bengaluru,Q3-2012,12542.0,12721.360935200462
Bengaluru,Q4-2012,14359.0,14272.359893905346
Bengaluru,Q1-2013,16235.0,15204.4356660212
Bengaluru,Q2-2013,14731.0,15198.710322870793
Bengaluru,Q3-2013,13373.0,13616.749427988974
Bengaluru,Q4-2013,14532.0,14484.163056128917
Bengaluru,Q1-2014,15578.0,14346.09685509014
Bengaluru,Q2-2014,15007.0,14794.75929239026
Bengaluru,Q3-2014,15294.0,15221.85490413021
Bengaluru,Q4-2014,14352.0,14535.16241176136
Bengaluru,Q1-2015,14797.0,14593.343148767577
Bengaluru,Q2-2015,13098.0,13498.034614287908
Bengaluru,Q3-2015,12603.0,12330.245174281477
Bengaluru,Q4-2015,12320.0,12157.608812424469
Bengaluru,Q1-2016,12623.0,12447.817968316223
Bengaluru,Q2-2016,11757.0,12070.418251161725
Bengaluru,Q3-2016,10813.0,11603.896466079104
Bengaluru,Q4-2016,8045.0,8319.04228848188
Bengaluru,Q1-2017,8303.0,8462.449829249348
Bengaluru,Q2-2017,9212.0,9150.451958288155
Bengaluru,Q3-2017,9232.0,9195.767463742513
Bengaluru,Q4-2017,9120.0,9536.258690587165
Bengaluru,Q1-2018,11129.0,11504.197161243339
Bengaluru,Q2-2018,10050.0,9952.549558543358
Bengaluru,Q3-2018,11097.0,10870.468794716311
Bengaluru,Q4-2018,12252.0,12216.63760564592
Bengaluru,Q1-2019,12687.0,12680.872424293817
Bengaluru,Q2-2019,10980.0,11299.748026798146
Bengaluru,Q3-2019,10756.0,10516.491816872967
Bengaluru,Q4-2019,11261.0,10848.14561977695
Bengaluru,Q1-2020,10724.0,10659.789236729976
Bengaluru,Q2-2020,4331.0,4453.411475501434
Bengaluru,Q3-2020,8265.0,7909.440456312268
Bengaluru,Q4-2020,11369.0,11491.921565178385
Bengaluru,Q1-2021,11523.0,11107.533101937659
Bengaluru,Q2-2021,6592.0,7636.405280536287
Bengaluru,Q3-2021,10544.0,10451.406831744987
Bengaluru,Q4-2021,14627.0,13933.22888412426
Bengaluru,Q1-2022,14457.0,14508.698128973287
Bengaluru,Q2-2022,13649.0,13664.07894086041
Bengaluru,Q3-2022,15957.0,15826.229230860901
Bengaluru,Q4-2022,16365.0,16190.25024983068
Bengaluru,Q1-2023,16491.0,16748.79729738641
Bengaluru,Q2-2023,15043.0,16207.325386913622
Bengaluru,Q3-2023,17688.0,17197.46902225853
Bengaluru,Q4-2023,17112.0,17983.71137066129
Bengaluru,Q1-2024,16685.0,16602.032062324917
Bengaluru,Q2-2024,15569.0,16082.254624591389
Bengaluru,Q3-2024,14013.0,13827.46697813088
Bengaluru,Q4-2024,16670.0,15706.871097257452
Bengaluru,Q1-2025,17357.0,16862.984288397445
Bengaluru,Q2-2025,15506.0,15299.46300693241
Bengaluru,Q3-2025,17588.0,17178.28048625595
Bengaluru,Q4-2025,15296.0,15835.982866723622
Chennai,Q1-2008,4087.0,
Chennai,Q2-2008,3624.0,
Chennai,Q3-2008,2816.0,
Chennai,Q4-2008,2048.0,
Chennai,Q1-2009,3107.0,3219.882547130084
Chennai,Q2-2009,3170.0,3405.4385823125936
Chennai,Q3-2009,3371.0,3458.9339071366517
Chennai,Q4-2009,3711.0,3806.3355298386737
Chennai,Q1-2010,4108.0,4086.934053949373
Chennai,Q2-2010,4356.0,4130.898555960039
Chennai,Q3-2010,5400.0,4721.528414139268
Chennai,Q4-2010,6843.0,6289.724174747502
Chennai,Q1-2011,7438.0,7193.3885942364905
Chennai,Q2-2011,7560.0,7245.471901929328
Chennai,Q3-2011,6442.0,6972.941235403958
Chennai,Q4-2011,6312.0,6105.536266374123
Chennai,Q1-2012,7341.0,6702.911170021409
Chennai,Q2-2012,6927.0,6753.3005572674665
Chennai,Q3-2012,6641.0,6978.660364510772
Chennai,Q4-2012,7953.0,7338.807999845632
Chennai,Q1-2013,7749.0,7615.580400783091
Chennai,Q2-2013,6643.0,7195.4401313121025
Chennai,Q3-2013,5670.0,6168.153368052687
Chennai,Q4-2013,5375.0,5395.924545700126
Chennai,Q1-2014,5431.0,5455.075174829607
Chennai,Q2-2014,4989.0,5062.983534368552
Chennai,Q3-2014,5067.0,5008.11992631164
Chennai,Q4-2014,5051.0,5096.3099553450575
Chennai,Q1-2015,4833.0,4838.993570522564
Chennai,Q2-2015,4638.0,4739.634293133504
Chennai,Q3-2015,4575.0,4584.203179494204
Chennai,Q4-2015,2954.0,3143.186536686547
Chennai,Q1-2016,3781.0,3533.516186517636
Chennai,Q2-2016,4294.0,4007.91344384426
Chennai,Q3-2016,4131.0,3946.858062249412
Chennai,Q4-2016,3538.0,3795.507236286007
Chennai,Q1-2017,3524.0,3753.4653299610136
Chennai,Q2-2017,3082.0,3205.7602995687953
Chennai,Q3-2017,2861.0,3107.841555046511
Chennai,Q4-2017,2900.0,3310.8104163010794
Chennai,Q1-2018,3634.0,3587.518462042473
Chennai,Q2-2018,4067.0,3986.038465109589
Chennai,Q3-2018,4384.0,4319.673081200187
Chennai,Q4-2018,4387.0,4341.020029972266
Chennai,Q1-2019,4380.0,4347.919502666139
Chennai,Q2-2019,4042.0,4085.366180442553
Chennai,Q3-2019,3801.0,3946.858062249412
Chennai,Q4-2019,4088.0,3981.3496140520547
Chennai,Q1-2020,3884.0,3940.3717039968365
Chennai,Q2-2020,1286.0,1459.2153687517366
Chennai,Q3-2020,2937.0,3078.307791544412
Chennai,Q4-2020,4503.0,4316.780285746571
Chennai,Q1-2021,4869.0,4594.333027323018
Chennai,Q2-2021,2594.0,3019.9049510843683
Chennai,Q3-2021,4071.0,4072.6385605289897
Chennai,Q4-2021,4434.0,4261.041875766396
Chennai,Q1-2022,4085.0,4290.332923067832
Chennai,Q2-2022,4079.0,3954.5275025841433
Chennai,Q3-2022,4317.0,4247.508046889564
Chennai,Q4-2022,4922.0,4538.835577796676
Chennai,Q1-2023,6009.0,5700.543001264164
Chennai,Q2-2023,5213.0,5377.089752425578
Chennai,Q3-2023,5721.0,5467.874499600221
Chennai,Q4-2023,4636.0,5110.2096108708565
Chennai,Q1-2024,4834.0,4952.897420550173
Chennai,Q2-2024,4953.0,4745.421307727258
Chennai,Q3-2024,4734.0,4681.488633528811
Chennai,Q4-2024,4696.0,4816.974855638149
Chennai,Q1-2025,4977.0,4858.771287826627
